ts_ms,op,lat_ms,hops,k,ext
1777907038834,GET,33,2,k30,reqs=75
1777907038833,GET,69,3,k14,reqs=75
1777907038833,GET,57,3,k20,reqs=75
1777907038827,GET,31,2,k28,reqs=75
1777907038825,GET,74,4,k2,reqs=75
1777907038824,GET,43,2,k21,reqs=75
1777907038818,GET,68,4,k0,reqs=75
1777907038837,GET,79,2,k12,reqs=75
1777907038837,GET,67,3,k17,reqs=75
1777907038836,GET,69,2,k16,reqs=75
1777907038839,GET,88,4,k6,reqs=75
1777907038840,GET,41,3,k29,reqs=75
1777907038842,GET,91,3,k8,reqs=75
1777907038843,GET,48,3,k26,reqs=75
1777907038843,GET,69,4,k19,reqs=75
1777907038843,GET,89,4,k10,reqs=75
1777907038844,GET,37,4,k33,reqs=75
1777907038848,GET,99,3,k5,reqs=75
1777907038848,GET,67,2,k22,reqs=75
1777907038848,GET,103,4,k7,reqs=75
1777907038848,GET,57,4,k23,reqs=75
1777907038849,GET,55,2,k27,reqs=75
1777907038851,GET,65,2,k24,reqs=75
1777907038854,GET,37,3,k37,reqs=75
1777907038857,GET,39,4,k38,reqs=75
1777907038857,GET,47,2,k34,reqs=75
1777907038861,GET,110,4,k1,reqs=75
1777907038861,GET,95,4,k15,reqs=75
1777907038862,GET,111,2,k9,reqs=75
1777907038863,GET,28,3,k45,reqs=75
1777907038864,GET,114,2,k3,reqs=75
1777907038865,GET,53,4,k35,reqs=75
1777907038867,GET,96,4,k18,reqs=75
1777907038869,GET,77,3,k25,reqs=75
1777907038870,GET,42,2,k42,reqs=75
1777907038870,GET,115,4,k11,reqs=75
1777907038874,GET,69,2,k31,reqs=75
1777907038874,GET,113,2,k13,reqs=75
1777907038875,GET,54,4,k39,reqs=75
1777907038876,GET,39,2,k46,reqs=75
1777907038877,GET,61,4,k36,reqs=75
1777907038879,GET,35,3,k49,reqs=75
1777907038880,GET,73,4,k32,reqs=75
1777907038881,GET,25,3,k54,reqs=75
1777907038882,GET,41,4,k48,reqs=75
1777907038884,GET,54,3,k43,reqs=75
1777907038884,GET,24,3,k56,reqs=75
1777907038885,GET,62,4,k40,reqs=75
1777907038886,GET,38,2,k51,reqs=75
1777907038888,GET,56,3,k44,reqs=75
1777907038890,GET,51,3,k47,reqs=75
1777907038894,GET,68,3,k41,reqs=75
1777907038896,GET,29,2,k59,reqs=75
1777907038898,GET,45,3,k53,reqs=75
1777907038902,GET,33,3,k60,reqs=75
